iNg31,Hin31
famous,prsiԃԃh
farmer,kisαn
faster,faster
father,piтα
fellow,sαтhi
female,mɦilα
fierce,bhyńkr
figure,ααkriтi
filter,filtr
finger,uńgliyα
finish,finish
firmly,firmly
fiscal,rαzkosiy
flavor,swαԃ
flight,udαn
flower,ful
flying,udαn
follow,follow
forbid,forbid
forest,zńgl
forget,forget
formal,općαrik
format,prαrup
former,purw
foster,posk
fourth,ćoтhi
freely,ααzαԃi
freeze,zmαnα
french,freć
friend,ԃosт
frozen,frozen
future,bhwisy
galaxy,galaxy
garage,geirez
garden,bgićα
garlic,lɦsun
gather,gather
gender,lińg
genius,genius
gentle,koml
gently,ԃhire
german,zrmn
gifted,gifted
glance,zhlk
global,weishwik
golden,sunɦrα
govern,govern
ground,meiԃαn
growth,wikαs
guilty,aprαԃhi
guitar,gitαr
handle,smbhαlnα
happen,ɦonα
hardly,hardly
hazard,khтrα
health,swαsтhy
heaven,swrg
height,ućαi
helmet,ɦelmet
hidden,hidden
highly,aтyԃhik
hockey,ɦoki
honest,imαnԃαr
horror,drαwni
hunger,bhukh
hungry,bhukhα
hunter,shikαri
ignore,ignore
immune,prтirksα
impact,prbhαw
import,ααyαт
impose,impose
income,ααy
indeed,indeed
indian,bhαrтiy
infant,shishu
inform,inform
injure,injure
injury,ćot
inmate,keiԃi
insect,kidα
insert,dαlnα
inside,anԃr
insist,insist
intact,akhnd
intend,intend
intent,irαԃα
invade,ααkrmn
invent,invent
invest,invest
invite,invite
island,ԃwip
itself,swy
jacket,zeiket
jewish,yɦuԃi
jungle,juńgle
junior,knisth
killer,ɦтyαrα
korean,koriyαi
ladder,sidhi
lately,lately
latter,latter
launch,launch
lawyer,wkil
leader,neтα
league,lig
legacy,prmprα
legend,ԃnтkтhα
length,lmbαi
lesson,pαth
letter,pтr
likely,smbhαwiт
liquid,тrl
listen,sunnα
little,тhodα
living,ziwikα
locate,locate
lonely,akelα
lovely,pyαrα
mainly,mainly
makeup,makeup
manage,manage
manner,dhńg
marble,sńgmrmr
margin,anтr
marine,smuԃri
marker,nishαn
market,bαzαr
master,mαlik
matter,mαmlα
medium,mԃhym
member,sԃsy
memory,yαԃ
mental,mαnsik
mentor,upԃeshk
merely,kewl
method,тrikα
middle,mԃhy
minute,mint
mirror,ααinα
mm-hmm,mimi-ɦmm
mobile,gтimαn
modern,ααԃhunik
modest,mαmuli
modify,snshoԃhiт
moment,pl
monkey,bnԃr
mostly,zyαԃαтr
mother,mα
motion,gтi
motive,mksԃ
murder,ɦтyα
muscle,mαnspeshiyα
museum,sńgrɦαly
muslim,muslmαn
mutter,mutter
mutual,ααpsi
myself,khuԃ
narrow,sńkrα
nation,rαstr
native,ԃeshi
nature,prkriтi
nearby,ααs-pαs
nearly,lgbhg
needle,sui
nobody,nobody
normal,sαmαny
notice,sućnα
notion,ԃhαrnα
number,sńkhyα
object,wsтu
obtain,prαpт
occupy,occupy
office,kαryαly
online,ααnlαin
openly,openly
oppose,oppose
option,wiklp
orange,nαrńgi
origin,mul
others,any
outfit,poshαk
outlet,ԃukαn
output,ααutput
oxygen,oxygen
palace,mɦl
parade,pred
parent,parent
parish,plli
partly,partly
pastor,pαԃri
patent,patent
patrol,pɦrα
patron,snrksk
peanut,muńgfli
pencil,pensil
people,log
pepper,pepper
period,awԃhi
permit,permit
person,wykтi
phrase,wαkyαnsh
pickup,uthαnα
pillow,тkiyα
planet,grɦ
player,khilαdi
please,kripyα
plenty,bɦuт
plunge,dubki
pocket,zeb
poetry,kwiтα
police,pulis
policy,niтi
poster,postr
potato,ααlu
powder,pαudr
praise,prshnsα
prayer,prαrтhnα
preach,preach
prefer,prefer
pretty,sunԃr
priest,puzαri
prison,kαrαgαr
profit,lαbh
prompt,ттpr
proper,ućiт
public,znтα
punish,punish
purple,beińgni
pursue,pursue
puzzle,pɦeli
rabbit,khrgosh
racial,zαтiy
racism,zαтiwαԃ
random,yαԃrićchik
rarely,kbhi-kbhαr
rather,rather
rating,retińg
reader,pαthk
really,really
reason,kαrn
recall,recall
recent,recent
recipe,recipe
record,abhilekh
reduce,reduce
reform,suԃhαr
refuge,shrn
refuse,refuse
regain,ɦαsil
regard,smbԃԃh
regime,prshαsn
region,sheтr
regret,kheԃ
reject,reject
relate,smbnԃhiт
relief,rαɦт
remain,awshes
remark,tippni
remind,remind
remote,ԃur
remove,nikαlnα
render,render
rental,kirαye
repair,mrmmт
repeat,ԃoɦrαnα
report,prтiweԃn
rescue,bćαw
resign,resign
resist,resist
resort,sɦαrα
result,prinαm
resume,resume
retail,khuԃrα
retain,retain
retire,ritαyr
return,return
reveal,reveal
review,smiksα
reward,inαm
rhythm,ly
ribbon,ribn
ritual,ritual
rocket,rαket
rubber,rbd
ruling,sттαrudh
runner,ԃhαwk
sacred,pwiтr
safely,safely
safety,surksα
salary,weтn
salmon,seimn
sample,nmunα
saving,bćт
scared,scared
scheme,yoznα
school,wiԃyαly
scream,ćikh
screen,skrin
script,script
search,khoz
season,mosm
second,ԃusrα
secret,gupт
sector,sheтr
secure,surksiт
seldom,kbhi-kbhi
select,ćunnα
seller,wikreтα
senate,senate
senior,wristh
series,shrińkhlα
settle,settle
severe,gmbhir
sexual,yon
shadow,chαyα
shared,sαzhα
shorts,shorts
should,ćαɦie
shower,fwwαrα
shrimp,zhińgα
shrink,sikudnα
signal,sńkeт
silent,ćupćαp
silver,ćαnԃi
simple,srl
simply,kewl
singer,gαyk
single,akelα
sister,bɦn
sleeve,ααsтin
slight,тhodα
slowly,slowly
smooth,ćiknα
soccer,futbol
social,sαmαzik
sodium,sodiym
soften,nrm
softly,softly
solely,akele
source,sroт
soviet,sowiyт
speech,bhαsn
sphere,golα
spirit,ααтmα
spouse,ziwnsαтhi
spread,feilαnα
spring,wsnт
square,wrg
stable,sтhir
stance,muԃrα
statue,murтi
status,sтhiтi
steady,niymiт
strain,chαnnα
streak,ԃhαri
stream,ԃhαrα
street,gli
stress,тnαw
strict,kthor
strike,ɦdтαl
string,dori
stroke,ααghαт
strong,mzbuт
studio,studio
stupid,murkh
submit,submit
subtle,ztil
suburb,upngr
sudden,aćαnk
suffer,pidiт
summer,grmi
summit,beithk
supply,ααpurтi
surely,surely
survey,srwe
switch,bԃlnα
symbol,prтik
system,prnαli
tackle,zuzhnα
tactic,rnniтi
talent,prтibhα
target,lksy
temple,mnԃir
tender,nαzuk
tennis,tenis
terror,ααтńk
thanks,ԃhnywαԃ
theory,likhiт
thirty,тis
though,yԃypi
thread,ԃhαgα
threat,ԃhmki
thrive,flnα-fulnα
throat,glα
ticket,tikt
timber,imαrтi
timing,smy
tissue,uтk
toilet,shoćαly
tomato,tmαtr
tongue,zibh
toward,toward
tragic,ԃukhԃ
trauma,sԃmα
travel,yαтrα
treaty,snԃhi
tribal,znzαтiy
tunnel,surńg
turkey,trki
twelve,bαrɦ
twenty,bis
unable,asmrтh
unfair,anućiт
unfold,uԃhednα
unique,aԃwiтiy
united,yunαited
unless,unless
unlike,bhinn
update,aԃyтn
useful,upyogi
vacuum,weikyum
valley,ghαti
vanish,vanish
vendor,wikreтα
verbal,mokhik
versus,bnαm
vessel,zɦαz
victim,pidiт
viewer,ԃrshk
virtue,gun
vision,ԃristi
visual,тswir
volume,ααyтn
voting,mтԃαn
wander,ghumnα
warmth,grmi
weaken,kmzor
wealth,smpттi
weapon,ɦтhiyαr
weekly,sαpтαɦik
weight,wzn
widely,widely
window,khidki
winner,wizeтα
winter,srԃi
wisdom,buԃԃhi
within,anԃr
wonder,ααshćry
wooden,wooden
worker,kαrykrтα
writer,lekhk
yellow,pilα
abandon,abandon
ability,shmтα
absence,anupsтhiтi
account,khαтα
achieve,achieve
acquire,acquire
actress,abhineтri
address,pтα
advance,agrim
adviser,slαɦkαr
african,afriki
against,khilαf
airline,eyrlαin
airport,eyrport
alcohol,shrαb
alleged,kтhiт
already,already
amazing,aԃbhuт
analyst,wishlesk
analyze,analyze
ancient,prαćin
another,another
anxiety,ćinтα
anxious,ćinтiт
anybody,anybody
anymore,anymore
appoint,appoint
approve,approve
arrange,arrange
arrival,ααgmn
article,lekh
assault,ɦmlα
athlete,ԃhαwk
attempt,attempt
attract,attract
auction,nilαmi
average,osт
balance,snтuln
balloon,gubbαrα
banking,beińkińg
barrier,rukαwt
battery,beitri
because,kyońki
bedroom,bedroom
believe,wishwαs
beneath,niće
benefit,fαyԃα
besides,alαwα
between,between
bicycle,sαikil
billion,arb
biology,ziwwigyαn
blanket,kmbl
bombing,bombing
breathe,breathe
briefly,sńksipт
british,british
brother,bhαi
builder,nirmαтα
burning,zlnα
cabinet,almαri
capable,kαbil
capital,punzi
captain,kpтαn
capture,kbzα
careful,sαwԃhαn
carrier,wαɦk
cartoon,kαrtun
catalog,sući
ceiling,chт
central,kenԃriy
century,shтk
certain,nishćiт
chamber,kks
channel,ćeinl
chapter,aԃhyαy
charity,ԃαn
charter,ćαrtr
chicken,murgα
chinese,ćini
chronic,ԃirghkαlik
circuit,srkit
citizen,nαgrik
classic,klαsik
clearly,clearly
climate,zlwαyu
closely,closely
closest,niktтm
clothes,kpde
cluster,zhund
coastal,тtiy
cocaine,kokin
collect,collect
college,kolez
combine,milαnα
comfort,ααrαm
command,ααgyα
comment,tippni
company,kmpni
compare,compare
compete,purα
complex,ztil
compose,likhe
concede,concede
concept,awԃhαrnα
concern,ćinтα
concert,concert
condemn,condemn
conduct,ααćrn
confess,confess
confirm,confirm
confuse,confuse
connect,zodnα
consent,sɦmтi
consist,consist
consult,consult
consume,consume
contact,smprk
contain,roknα
contend,contend
content,sαmgri
contest,prтiyogiтα
context,prsńg
control,niynтrn
convert,bԃlnα
convict,convict
cooking,cooking
correct,sɦi
costume,poshαk
cottage,zhopdi
council,prisԃ
counsel,wkil
counter,counter
country,ԃesh
courage,sαɦs
crowded,crowded
crucial,mɦтwpurn
crystal,kristl
culture,snskriтi
curious,zigyαsu
current,mozuԃα
curtain,prԃα
custody,ɦirαsт
dancing,nriтy
declare,ghosiт
decline,girαwt
defense,rksα
deficit,ghαtα
delight,ααnnԃ
deliver,bαntnα
density,ghnтw
deposit,zmα
descend,uтrnα
deserve,deserve
despite,despite
dessert,mithαi
destroy,destroy
develop,develop
diamond,dαymnd
dictate,ɦukm
digital,dizitl
dignity,grimα
dilemma,ԃuwiԃhα
discuss,discuss
disease,bimαri
dismiss,dismiss
display,prԃrshn
dispute,wiwαԃ
distant,ԃursтh
disturb,disturb
diverse,wiwiԃh
divorce,тlαk
doorway,ԃwαr
drawing,ćiтrklα
driving,drαiwińg
dynamic,gтishil
eastern,purwi
economy,arтhwywsтhα
edition,snskrn
educate,shiksiт
elderly,buzurg
elegant,surućipurn
element,ттw
embrace,apnαnα
emotion,bhαwnα
endless,anтɦin
endorse,smrтhn
enforce,lαgu
english,ańgrezi
enhance,bdhαnα
entitle,tαitil
episode,episod
equally,equally
essence,sαr
ethical,neiтik
evening,shαm
evident,prтyks
exactly,bilkul
examine,examine
example,uԃαɦrn
excited,uтsαɦiт
exclude,exclude
execute,execute
exhaust,nikαs
exhibit,ԃikhαnα
expense,wyy
explain,explain
explode,wisfot
exploit,exploit
explore,explore
express,express
extreme,ćrm
eyebrow,bho
factory,kαrkhαnα
faculty,sńkαy
failure,asflтα
fantasy,klpnα
fashion,pɦnαwα
fatigue,тhkαn
feather,pńkh
feature,wishesтα
federal,sńghiy
feeling,anubhuтi
fiction,klpnα
fifteen,pnԃrɦ
fighter,yoԃԃhα
finally,finally
finance,wiтт
finding,khoz
fishing,fishing
fitness,upyukттα
foreign,wiԃesh
forever,forever
forgive,forgive
formula,formulα
fortune,bhαgy
forward,ααge
founder,snsтhαpk
fragile,kmzor
frankly,frankly
freedom,swтnтrтα
fucking,kmbkhт
funding,anuԃαn
funeral,funeral
gallery,geilri
garbage,kćrα
general,sαmαny
genetic,ααnuwnshik
genuine,asli
gesture,ishαrα
glimpse,zhlk
gravity,guruтwαkrsn
greatly,kαfi
grocery,kirαnα
growing,growing
habitat,habitat
halfway,halfway
hallway,ԃαlαn
handful,mutthi
happily,happily
harmony,sԃbhαw
harvest,fsl
healthy,swsтh
hearing,sunwαi
heavily,bhαri
helpful,mԃԃgαr
herself,khuԃ
highway,rαzmαrg
himself,himself
history,iтiɦαs
holiday,chutti
horizon,shiтiz
hormone,ɦαrmon
hostage,bnԃhk
hostile,shтruтαpurn
housing,ααwαs
however,ттhαpi
hundred,so
hunting,shikαr
husband,pтi
illegal,geirkαnuni
illness,bimαri
imagine,imagine
impress,chαp
improve,suԃhαr
impulse,ααweg
include,include
inherit,inɦerit
initial,prαrmbhik
inquiry,inquiry
insight,anтrԃristi
inspire,inspire
install,install
instant,тurnт
instead,bzαy
intense,gɦn
involve,involve
islamic,islαmi
isolate,alg
israeli,izrαyl
italian,iтαlwi
jewelry,zewr
journal,pтrikα
journey,yαтrα
justice,nyαy
justify,oćiтy
killing,ɦтyα
kingdom,sαmrαzy
kitchen,rsoighr
landing,awтrn
largely,largely
lawsuit,mukԃmα
leading,agrni
leather,ćmdα
lecture,wyαkhyαn
legally,legally
liberal,uԃαr
liberty,swтnтrтα
library,pusтkαly
license,lαisens
lightly,lightly
limited,simiт
logical,тαrkik
loyalty,nisthα
machine,mshin
manager,prbnԃhk
mandate,aԃhiԃesh
mansion,ɦweli
married,wiwαɦiт
massive,massive
maximum,aԃhikтm
meaning,arтh
measure,upαy
medical,ćikiтsα
meeting,beithk
mention,ullekh
message,snԃesh
mexican,meiksikn
million,million
mineral,khniz
minimal,nyunтm
minimum,nyunтm
miracle,ćmтkαr
missile,misαil
missing,gum
mission,uԃԃeshy
mistake,glтi
mixture,mishrn
monitor,monitor
monster,rαkss
monthly,monthly
morning,subɦ
musical,myuzikl
mystery,rɦsy
natural,prαkriтik
neither,neither
nervous,nervous
network,netwrk
neutral,тtsтh
nominee,ummiԃwαr
nothing,nothing
nowhere,nowhere
nuclear,nαbhikiy
o'clock,o'clock
observe,niriksn
obvious,zαɦir
offense,aprαԃh
officer,afsr
olympic,olimpik
ongoing,ongoing
opening,uԃghαtn
operate,prćαln
opinion,rαy
opposed,wiroԃh
organic,zeiwik
outcome,nтizα
outdoor,ααutdor
outline,ruprekhα
outside,bαɦr
overall,overall
oversee,ԃekhrekh
package,peiket
painful,ԃrԃnαk
painter,ćiтrkαr
parking,pαrkińg
partial,ααnshik
partner,sαтhi
passage,rαsтα
passing,pαsińg
passion,zunun
patient,mriz
pattern,nmunα
payment,bhugтαn
peasant,kisαn
penalty,zurmαnα
pension,penshn
perfect,uттm
perform,perform
perhaps,shαyԃ
persian,fαrsi
persist,persist
physics,physics
picture,ćiтr
pioneer,pioneer
pitcher,ghdα
planner,yoznαkαr
plastic,plαstik
playoff,playoff
pleased,prsnn
popular,lokpriy
portion,bhαg
portray,ćiтrklα
possess,possess
poverty,gribi
precise,stik
predict,predict
premise,ααԃhαr
premium,aԃhimuly
prepare,prepare
present,upsтhiт
pretend,pretend
prevail,prevail
prevent,roknα
primary,prαтhmik
privacy,gopniyтα
private,nizi
problem,sńkt
proceed,proceed
process,prkriyα
produce,produce
product,uтpαԃ
profile,profαil
program,kαrykrm
project,priyoznα
promise,wαԃα
promote,promote
propose,propose
protect,protect
protein,protin
protest,wiroԃh
provide,provide
provoke,uksαnα
publish,prkαshiт
purpose,uԃԃeshy
pursuit,kαm
qualify,arɦтα
quality,gunwттα
quarter,тimαɦi
quickly,quickly
quietly,ćupćαp
radical,molik
rapidly,rapidly
readily,readily
reading,pdhnα
reality,wαsтwikтα
realize,smzhnα
rebuild,punrnirmαn
receive,receive
recover,recover
recruit,bhrтi
reflect,reflect
refugee,shrnαrтhi
regular,niymiт
related,smbnԃhiт
release,release
relieve,relieve
removal,ɦtαnα
replace,replace
request,anuroԃh
require,require
reserve,snrksiт
resolve,sńklp
respect,ααԃr
respond,respond
restore,restore
retired,sewαniwriтт
retreat,retreat
revenue,ααy
reverse,riwrs
rolling,rolińg
romance,romαns
roughly,roughly
routine,ԃinćryα
running,ԃodnα
russian,rusi
satisfy,snтust
scandal,ghotαlα
scatter,bikhrαw
scholar,pndiт
science,wigyαn
scratch,khroćnα
section,anubhαg
secular,ԃhrmnirpeks
segment,khnd
seminar,seminαr
senator,sinetr
serious,gmbhir
servant,nokr
service,sewα
serving,serving
session,sтr
setting,setińg
seventh,sαтwi
several,anek
shallow,uтhlα
sharply,sharply
shelter,ααshry
shortly,shortly
shuttle,shtl
sibling,sibling
silence,mon
similar,smαn
skilled,kushl
slavery,gulαmi
society,smαz
soldier,seinik
someday,someday
somehow,somehow
someone,koi
spanish,speinish
speaker,wkтα
special,wishes
species,przαтiyα
specify,specify
sponsor,prαyozk
squeeze,nićod
stadium,stediym
starter,stαrtr
station,steshn
statute,kαnun
stomach,pet
storage,bhndαrn
strange,azib
stretch,khićnα
student,wiԃyαrтhi
stumble,thokr
subject,wisy
subsidy,sbsidi
succeed,succeed
success,sflтα
suggest,suggest
suicide,ααтmghαтi
summary,sαrαnsh
support,sɦαyтα
suppose,suppose
supreme,uććтm
surface,sтɦ
surgeon,srzn
surgery,surgery
survive,survive
suspect,suspect
suspend,nilmbiт
sustain,sustain
swallow,niglnα
sweater,swetr
symptom,lksn
t-shirt,t-shirt
teacher,aԃhyαpk
teenage,kishor
tension,тnαw
terrain,ilαke
testify,testify
testing,priksn
texture,bnαwt
theater,тhietr
therapy,ćikiтsα
thereby,thereby
thought,soćα
through,through
tighten,ks
tightly,tightly
tobacco,тmbαku
tonight,tonight
totally,totally
tourism,prytn
tourist,prytk
towards,towards
trading,wyαpαr
traffic,treifik
tragedy,тrαsԃi
trailer,trelr
trainer,trenr
transit,pαrgmn
trigger,trigger
triumph,wizyollαs
trouble,mushkil
typical,theth
uncover,uzαgr
undergo,guzrnα
unhappy,aprsnn
uniform,wrԃi
unknown,agyαт
unusual,asαmαny
usually,usually
utility,upyogiтα
utilize,upyog
vaccine,tikα
variety,wiwiԃhтα
various,wibhinn
vehicle,wαɦn
venture,uԃym
verdict,nirny
version,snskrn
veteran,anubhwi
victory,wizy
village,gαnw
violate,violate
violent,ɦinsk
virtual,ααbhαsi
visible,ԃrishymαn
visitor,ααgnтuk
vitamin,witαmin
walking,ćlnα
warning,ćeтαwni
warrior,yoԃԃhα
wealthy,ԃhnwαn
weather,mosm
wedding,shαԃi
weekend,spтαɦαnт
welcome,swαgт
welfare,klyαn
western,westrn
whereas,zbki
whether,ćαɦe
whisper,fusfusαnα
whoever,whoever
willing,ićchuk
without,binα
witness,gwαɦ
working,kαryrт
workout,workout
worried,ćinтiт
writing,likhnα
written,written
abortion,grbhpαт
absolute,nirpeks
abstract,amurт
academic,akαԃmik
accident,ԃurghtnα
accuracy,shuԃԃhтα
accurate,shuԃԃh
actively,skriy
activist,kαrykrтα
activity,gтiwiԃhi
actually,actually
addition,zodnα
adequate,pryαpт
adoption,adoption
advanced,wiksiт
advocate,wkil
aircraft,wimαn
airplane,airplane
alliance,gthbnԃhn
although,ɦαlαńki
aluminum,alyuminiym
ambition,mɦтwαkαńksα
american,ameriki
analysis,wishlesn
ancestor,purwz
announce,announce
annually,prтiwrs
anything,anything
anywhere,anywhere
apparent,prkt
approach,ԃristikon
approval,anumoԃn
argument,тrk
artifact,artifact
artistic,klαтmk
assemble,iktthα
assembly,wiԃhαnsbhα
athletic,pust
attitude,nzriyα
attorney,prтiniԃhi
audience,shroтα
autonomy,swαyтттα
backyard,pichwαde
bacteria,ziwαnu
balanced,beilensd
baseball,besbol
basement,тɦkhαnα
bathroom,snαnghr
behavior,wywɦαr
birthday,znmԃin
blessing,ααshirwαԃ
boundary,simα
building,imαrт
business,wyαpαr
calendar,keilendr
campaign,abhiyαn
canadian,keinediyn
capacity,shmтα
casualty,ԃurghtnα
category,wrg
catholic,keiтholik
cemetery,kbrisтαn
ceremony,smαroɦ
chairman,aԃhyks
champion,ćeimpiyn
changing,changing
chemical,rαsαynik
civilian,aseinik
classify,classify
clinical,klinikl
clothing,kpde
collapse,collapse
colonial,opniweshik
colorful,rńgin
combined,snyukт
commonly,ααmтor
complain,complain
complete,purα
compound,mishrn
comprise,smαwesh
computer,kmpyutr
conceive,conceive
conclude,niskrs
concrete,thos
conflict,tkrαw
confront,confront
congress,kαńgres
consider,consider
constant,sтhir
consumer,upbhokтα
continue,continue
contract,anubnԃh
contrast,anтr
convince,convince
corridor,gliyαre
coverage,kwrez
creation,nirmαn
creative,rćnαтmk
creature,prαni
criminal,ααprαԃhik
criteria,mαnԃnd
critical,gmbhir
cultural,sαnskriтik
currency,muԃrα
customer,grαɦk
darkness,anԃherα
database,detαbes
daughter,beti
deadline,deadline
decision,feislα
decorate,szαnα
decrease,ghtαnα
dedicate,dedicate
defender,rksk
delicate,nαzuk
delivery,wiтrn
democrat,przαтnтrwαԃi
describe,describe
designer,dizαinr
detailed,wisтriт
diabetes,mԃhumeɦ
diagnose,diagnose
dialogue,wαrтα
diminish,ghtαnα
diplomat,rαznyik
directly,siԃhe
director,niԃeshk
disabled,aksm
disagree,asɦmт
disaster,ααpԃα
disclose,khulαsα
discount,chut
discover,discover
disorder,wikαr
dissolve,dissolve
distance,ԃuri
distinct,wishist
distract,wićliт
district,zilα
division,wibhαzn
doctrine,siԃԃhαnт
document,ԃsтαwez
domestic,ghrelu
dominant,prmukh
dominate,dominate
donation,ԃαn
downtown,shɦr
dramatic,nαtkiy
drinking,pine
driveway,sdk
dynamics,gтiki
earnings,ααy
economic,ααrтhik
educator,shiksk
election,ćunαw
electric,ilektrik
elephant,ɦαтhi
elevator,lift
eligible,yogy
emerging,ubhrтe
emission,uтsrzn
emphasis,zor
employee,krmćαri
employer,niyokтα
engineer,abhiynтα
enormous,wishαl
entirely,entirely
entrance,entrance
envelope,lifαfα
envision,envision
epidemic,mɦαmαri
equality,smαnтα
equation,smikrn
estimate,estimate
european,yuropiy
evaluate,evaluate
everyday,everyday
everyone,everyone
evidence,prmαn
exchange,aԃlα-bԃli
exciting,romαćk
exercise,wyαyαm
existing,mozuԃα
expected,apeksiт
explicit,mukhr
exposure,khulαsα
extended,wisтαriт
external,bαɦri
facility,suwiԃhα
familiar,prićiт
favorite,psnԃiԃα
feedback,prтikriyα
feminist,nαriwαԃi
festival,тyoɦαr
fighting,fighting
flexible,lćilα
football,futbol
forehead,mαтhα
formerly,purw
fraction,ansh
fragment,tukdα
frequent,aksr
freshman,nae
friendly,ԃosтαnα
frontier,simαnт
function,smαroɦ
gasoline,petrol
generate,uтpnn
generous,uԃαr
governor,rαzypαl
graduate,snαтk
grateful,ααbhαri
greatest,mɦαnтm
guidance,mαrgԃrshn
handsome,ααkrsk
hardware,ɦαrdweyr
headache,sirԃrԃ
headline,shirsk
heritage,wirαsт
hesitate,hesitate
hispanic,ɦispeinik
historic,eтiɦαsik
homeland,mαтribhumi
homeless,beghr
homework,griɦkαry
honestly,honestly
horrible,bhyńkr
hospital,aspтαl
humanity,insαniyт
identify,identify
identity,pɦćαn
ideology,wićαrԃhαrα
illusion,mαyα
improved,unnт
incident,ghtnα
increase,bdhoтri
indicate,indicate
industry,uԃyog
informal,anopćαrik
inherent,anтrniɦiт
initiate,initiate
innocent,mαsum
instance,uԃαɦrn
instinct,instinct
instruct,pdhαnα
interact,interact
interest,ԃilćspi
interior,interior
internal,ααnтrik
internet,intrnet
interval,anтrαl
intimate,anтrńg
invasion,ααkrmn
investor,inwestr
involved,shαmil
isolated,ekαki
japanese,zαpαni
judgment,prly
judicial,aԃαlтi
landmark,simαćiɦn
language,bhαsα
laughter,ɦnsi
lawmaker,wywsтhαpk
learning,sikhnα
lifetime,ziwnbhr
lighting,prkαsh
likewise,likewise
listener,shroтα
literary,sαɦiтyik
location,zgɦ
longtime,longtime
magazine,pтrikα
magnetic,ćumbkiy
maintain,maintain
majority,bɦumт
managing,prbnԃh
marriage,shαԃi
material,sαmgri
meantime,meantime
mechanic,meikenik
medicine,ԃwα
mentally,mentally
merchant,wyαpαri
metaphor,rupk
midnight,mԃhyrαтri
military,seiny
minimize,minimize
minister,mnтri
ministry,mnтrαly
minority,alpsńkhyk
moderate,mԃhym
molecule,anu
momentum,gтi
monument,smαrk
moreover,moreover
mortgage,mortgage
motivate,motivate
mountain,prwт
movement,ααnԃoln
multiple,ekαԃhik
mushroom,mshrum
musician,sńgiтkαr
national,rαstriy
negative,nkαrαтmk
neighbor,pdosi
normally,sαmαnyтa
northern,uттri
notebook,notbuk
numerous,bɦuт
nutrient,pustikr
observer,pryweksk
obstacle,bαԃhα
occasion,awsr
offender,aprαԃhi
offering,prsαԃ
official,aԃhikαri
olympics,olmpik
operator,ααpretr
opponent,prтiԃwnԃwi
opposite,wilom
ordinary,sαԃhαrn
organism,ziw
organize,ααyozn
original,mul
outsider,prαyα
overcome,overcome
overlook,owrluk
painting,ćiтrkαri
parental,peiтrik
particle,kn
patience,ԃheiry
peaceful,shαnтipurn
perceive,smzhnα
personal,nizi
persuade,persuade
physical,bhoтik
planning,yoznα
platform,pleitform
pleasant,sukhԃ
pleasure,ααnnԃ
politics,rαzniтi
portrait,ćiтr
position,pԃ
positive,skαrαтmk
possible,smbhw
possibly,smbhwт:
powerful,тαkтwr
practice,abhyαs
precious,kimтi
predator,ԃrinԃα
pregnant,grbhwтi
presence,upsтhiтi
preserve,preserve
pressure,ԃbαw
previous,previous
priority,prαтhmikтα
prisoner,keiԃi
probably,shαyԃ
proclaim,prćαr
producer,nirmαтα
profound,gɦrα
progress,prgтi
prohibit,niseԃh
properly,properly
property,smpттi
proposal,prsтαw
proposed,prsтαwiт
prospect,smbhαwnα
protocol,shistαćαr
provided,provided
provider,prԃαтα
province,prαnт
publicly,publicly
purchase,khriԃnα
quantity,mαтrα
question,swαl
railroad,rel
rational,тrksńgт
reaction,prтikriyα
receiver,receiwer
recently,recently
recovery,wsuli
regional,sheтriy
register,register
regulate,winiymiт
relation,rishтα
relative,rishтeԃαr
relevant,upyukт
reliable,bhrosemnԃ
religion,ԃhrm
remember,remember
reminder,anusmαrk
reporter,riportr
republic,gnтnтr
required,ααwshyk
research,anusnԃhαn
resemble,resemble
resident,niwαsi
resource,snsαԃhn
response,prтikriyα
restrict,restrict
retailer,retailer
rhetoric,wkrptuтα
romantic,romantic
sanction,prтibnԃh
sandwich,seindwić
scenario,priԃrishy
schedule,anusući
scramble,sńghrs
security,surksα
selected,ćyniт
sentence,wαky
separate,alg
sequence,anukrm
severely,severely
sexually,yon
shooting,shutińg
shopping,khriԃαri
shortage,kmi
shoulder,knԃhα
sidewalk,futpαтh
slightly,тhodα
socially,socially
software,softweyr
solution,smαԃhαn
somebody,somebody
sometime,sometime
somewhat,somewhat
southern,ԃksin
specific,wishist
spectrum,spektrm
spending,khrć
sprinkle,sprinkle
standard,mαnk
standing,standing
starting,prαrmbh
steadily,steadily
stimulus,proтsαɦn
straight,siԃhα
stranger,aznbi
strategy,rnniтi
strength,тαkт
strictly,strictly
striking,prɦαr
strongly,strongly
struggle,sńghrs
suburban,upngriy
suddenly,aćαnk
suitable,upyukт
sunlight,sunlight
superior,beɦтr
supplier,supplier
supposed,klpiт
surprise,ααshćry
surround,surround
survival,uттrziwiтα
survivor,uттrziwi
swimming,тeirnα
symbolic,prтikαтmk
sympathy,sɦαnubhuтi
syndrome,sindrom
talented,prтibhαshαli
taxpayer,krԃαтα
teaching,shiksn
teammate,timmαit
teaspoon,teaspoon
teenager,kishor
tendency,prwriттi
terrible,bhyαnk
terribly,bɦuт
terrific,terrific
textbook,pαthypusтk
theology,ԃhrmshαsr
thinking,soć
thousand,ɦzαr
threaten,threaten
together,together
tolerate,tolerate
tomorrow,kl
training,prshiksn
transfer,sтhαnαnтrn
transmit,sćαriт
traveler,yαтri
treasure,khzαnα
tropical,usnktibnԃhiy
